,station,lat,lon,weatherfont,weathersymbol,weathercolour,wwletter
328,EGSH,52.6758,1.28278,,,,1110003600100002000300004000051000600007000080000
329,LIBP,42.4317,14.1811,36.0,^,green,1110003600100002000300004000051000600007000080000
330,LICA,38.9054,16.2423,,,,1110003600100002000300004000051000600007000080000
331,LICR,38.0712,15.6516,,,,1110003600100002000300004000051000600007000080000
332,LIPY,43.6163,13.3623,,,,1110003600100002000300004000051000600007000080000
333,LICD,35.4979,12.6181,,,,1110003600100002000300004000051000600007000080000
334,LIRZ,43.0959,12.5132,,,,1110003600100002000300004000051000600007000080000
335,EHDL,52.0606,5.87306,,,,1110003600100002000300004000051000600007000080000
336,EHGR,51.5674,4.93183,,,,1110003600100002000300004000051000600007000080000
337,EHLE,52.4603,5.52722,,,,1110003600100002000300004000051000600007000080000
338,EHLW,53.2286,5.76056,,,,1110003600100002000300004000051000600007000080000
339,EHVK,51.6564,5.70861,,,,1110003600100002000300004000051000600007000080000
340,EHWO,51.4491,4.34203,,,,1110003600100002000300004000051000600007000080000
341,EETN,59.4133,24.8328,,,,1110003600100002000300004000051000600007000080000
342,EETU,58.3075,26.6904,36.0,l,magenta,1110003600100002000300004000051000600007000080000
343,EVLA,56.5175,21.0969,,,,1110003600100002000300004000051000600007000080000
344,EVRA,56.9236,23.9711,,,,1110003600100002000300004000051000600007000080000
345,EYKA,54.9639,24.0848,,,,1110003600100002000300004000051000600007000080000
346,EFKI,64.2855,27.6924,36.0,r,green,1110003600100002000300004000051000600007000080000
347,EFKU,63.0071,27.7978,36.0,q,green,1110003600100002000300004000051000600007000080000
348,EGOW,53.5816,-3.05552,,,,1110003600100002000300004000051000600007000080000
349,LIPU,45.3958,11.8479,,,,1110003600100002000300004000051000600007000080000
350,EDDS,48.6899,9.22196,,,,1110003600100002000300004000051000600007000080000
351,EGPD,57.2019,-2.19778,,,,1110003600100002000300004000051000600007000080000
